panel_code|col_name|label|required|hidden|place
PU_ORDER|仓库|仓库|0|0|detail
PU_ORDER|仓库id|仓库id|0|1|detail
PU_ORDER|仓库编码|仓库编码|0|1|detail
PU_ORDER|仓库启用仓位管理|仓库启用仓位管理|0|1|detail
PU_ORDER|仓位id|仓位id|0|1|detail
PU_ORDER|仓位名称|仓位名称|0|1|detail
PU_ORDER|仓位编码|仓位编码|0|1|detail
PURCHASE_IN|仓库id|仓库id|0|1|detail
PURCHASE_IN|仓库名称|仓库名称|0|0|detail
PURCHASE_IN|仓库启用仓位管理|仓库启用仓位管理|0|1|detail
PURCHASE_IN|仓位id|仓位id|0|1|detail
PURCHASE_IN|仓位名称|仓位名称|0|1|detail
SALE_OUT|仓库id|仓库id|0|1|detail
SALE_OUT|仓库名称|仓库名称|0|0|detail
SALE_OUT|仓库编码|仓库编码|0|1|detail
SALE_OUT|仓库启用仓位管理|仓库启用仓位管理|0|1|detail
SALE_OUT|仓位id|仓位id|0|1|detail
SALE_OUT|仓位名称|仓位名称|0|1|detail
SALE_OUT|仓位编码|仓位编码|0|1|detail
SO_ORDER|仓库id|仓库id|0|1|detail
SO_ORDER|仓库名称|仓库名称|0|1|detail
SO_ORDER|仓库编码|仓库编码|0|1|detail
SO_ORDER|仓库启用仓位管理|仓库启用仓位管理|0|1|detail
SO_ORDER|仓位id|仓位id|0|1|detail
SO_ORDER|仓位名称|仓位名称|0|1|detail
SO_ORDER|仓位编码|仓位编码|0|1|detail
