panel|col|label|非空行数
GFDA|addr|地址|0
GFDA|sui_no|开票税号|0
GFDA|开票名称|开票名称|0
GFDA|开户地址|开户地址|0
GFDA|供应商联系人座机|供应商联系人座机|0
GFDA|供应商联系人邮箱|供应商联系人邮箱|0
GFDA|供应商联系人地址|供应商联系人地址|0
INV|条形码|条形码|0
INV|品牌|品牌|0
INV|建档日期|建档日期|0
INV|产地|产地|0
INV|保质期单位|保质期单位|0
INV|生产许可证|生产许可证|0
INV|注册证号|注册证号|0
INV|默认生产车间编码|默认生产车间编码|0
INV|倒冲仓库名称|倒冲仓库名称|0
INV|倒冲仓库编码|倒冲仓库编码|0
INV|倒冲仓位名称|倒冲仓位名称|0
INV|最近成交供应商|最近成交供应商|0
INV|品牌编码|品牌编码|0
INV|默认仓库|默认仓库|0
INV|默认仓库编码|默认仓库编码|0
INV|多单位|多单位|0
INV|图片链接|图片链接|0
KHDA|khjb|价格等级|0
KHDA|sui_no|开票税号|0
KHDA|bank|开户银行|0
KHDA|email|邮箱|0
KHDA|bz|备注|0
KHDA|价格等级编码|价格等级编码|0
KHDA|开票名称|开票名称|0
KHDA|创建人|创建人|0
KHDA|收票邮箱|收票邮箱|0
KHDA|收票手机号|收票手机号|0
KHDA|开户地址|开户地址|0
KHDA|联系人邮箱|联系人邮箱|0
KHDA|联系人生日|联系人生日|0
KHDA|联系人QQ|联系人QQ|0
KHDA|联系人微信|联系人微信|0
KHDA|价格等级-id|价格等级-id|0
PU_ORDER|结算期限|结算期限|0
PU_ORDER|备注|备注|0
PU_ORDER|备注|备注|0
PU_ORDER|交货方式|交货方式|0
PU_ORDER|仓库编码|仓库编码|0
PU_ORDER|条形码|条形码|0
PU_ORDER|源单类型名称|源单类型名称|0
PU_ORDER|供应商商品编码|供应商商品编码|0
SO_ORDER|币种|币种|0
SO_ORDER|图片url|图片url|0
SO_ORDER|商品助记码|商品助记码|0
SO_ORDER|仓库id|仓库id|0
SO_ORDER|仓库名称|仓库名称|0
SO_ORDER|仓库编码|仓库编码|0
SO_ORDER|仓位id|仓位id|0
SO_ORDER|仓位名称|仓位名称|0
SO_ORDER|仓位编码|仓位编码|0
SO_ORDER|辅助属性id|辅助属性id|0
SO_ORDER|辅助属性名称|辅助属性名称|0
SO_ORDER|辅助属性编码|辅助属性编码|0
SO_ORDER|辅助属性1id|辅助属性1id|0
SO_ORDER|辅助属性1名称|辅助属性1名称|0
SO_ORDER|辅助属性1编码|辅助属性1编码|0
SO_ORDER|辅助属性2id|辅助属性2id|0
SO_ORDER|辅助属性2名称|辅助属性2名称|0
SO_ORDER|辅助属性2编码|辅助属性2编码|0
SO_ORDER|辅助属性3id|辅助属性3id|0
SO_ORDER|辅助属性3名称|辅助属性3名称|0
SO_ORDER|辅助属性3编码|辅助属性3编码|0
SO_ORDER|条形码|条形码|0
SO_ORDER|换算公式|换算公式|0
SO_ORDER|批次号|批次号|0
SO_ORDER|产地|产地|0
SO_ORDER|注册证号|注册证号|0
SO_ORDER|生产许可证号|生产许可证号|0
SO_ORDER|生产日期|生产日期|0
SO_ORDER|有效日期|有效日期|0
SO_ORDER|保质期类型，1|保质期类型，1|0
SO_ORDER|序列号格式|序列号格式|0
SO_ORDER|辅助单位id|辅助单位id|0
SO_ORDER|辅助单位名称|辅助单位名称|0
SO_ORDER|辅助单位编码|辅助单位编码|0
SO_ORDER|源单id|源单id|0
SO_ORDER|源单id_src_bill_no|源单id_src_bill_no|0
SO_ORDER|源单类型id|源单类型id|0
SO_ORDER|源单类型名称|源单类型名称|0
SO_ORDER|源单类型编码|源单类型编码|0
SO_ORDER|源单日期|源单日期|0
SO_ORDER|外部商品编码|外部商品编码|0
SO_ORDER|外部商品单位|外部商品单位|0
SO_ORDER|结算状态|结算状态|0
SO_ORDER|交货方式|交货方式|0
SO_ORDER|发货人|发货人|0
SO_ORDER|发货联系电话|发货联系电话|0
SO_ORDER|发货地址|发货地址|0
