p|fields
PURCHASE_IN|46
SALE_OUT|44
t|cols
bd_purchase_in|35
bl_purchase_in|32
bd_sale_out|37
bl_sale_out|28
place|col_name|label
detail|存货名称|存货名称
detail|存货图片|存货图片
detail|规格型号|规格型号
detail|实收数量|实收数量
detail|计量单位|计量单位
detail|实收数量2|实收数量2
detail|计量单位2|计量单位2
detail|计量单位组合|计量单位组合
detail|换算率|换算率
detail|单价|单价
detail|税率%|税率%
detail|单价2|单价2
detail|含税单价2|含税单价2
detail|含税单价|含税单价
detail|金额|金额
detail|含税金额|含税金额
detail|费用调整|费用调整
detail|费用金额|费用金额
detail|现存量|现存量
detail|现存量说明|现存量说明
detail|产成品图片|产成品图片
detail|批号|批号
header|币种|币种
header|汇率|汇率
header|资金批次|资金批次
header|合同号最新|合同号最新
query,detail|存货编码|存货编码
query,header|单据日期|单据日期
query,header|单据编号|单据编号
query,header|业务类型|业务类型
query,header|入库类别|入库类别
query,header|供应商编码|供应商编码
query,header|供应商|供应商
query,header|供应商简称|供应商简称
query,header|匹配来源单号|匹配来源单号
query,header|经手人|经手人
query,header|项目|项目
query,header|验货人|验货人
query,header|外部单据号|外部单据号
query,header|采购订单号|采购订单号
query,header|来源单据|来源单据
query,header|合同号|合同号
query,header|来源单号|来源单号
query,header|销售订单号|销售订单号
query,header|采购类型|采购类型
query,header,detail|仓库|仓库
