panel_code|place|col_name|label|vis
CUR|detail|创建人id|创建人id|隐
CUR|detail|修改人id|修改人id|隐
DEPT|detail|上级id|上级id|隐
EMP|detail|部门id|部门id|隐
EMP|detail|结算账户id|结算账户id|隐
EMP|detail|结算类型id|结算类型id|隐
GFDA|detail|group_id|group_id|隐
GFDA|detail|QQ|QQ|隐
GFDA|detail|国家-id|国家-id|隐
GFDA|detail|省-id|省-id|隐
GFDA|detail|市-id|市-id|隐
GFDA|detail|区-id|区-id|隐
INV|detail|parent_name|parent_name|隐
INV|detail|is_show_aux_barcode|is_show_aux_barcode|隐
INV|detail|品牌id|品牌id|隐
INV|detail|商品计量单位id|商品计量单位id|隐
INV|detail|默认仓库_stock_id|默认仓库_stock_id|隐
INV|detail|默认生产车间id|默认生产车间id|隐
INV|detail|倒冲仓库id|倒冲仓库id|隐
INV|detail|倒冲仓位id|倒冲仓位id|隐
KHDA|detail|联系人QQ|联系人QQ|隐
KHDA|detail|价格等级-id|价格等级-id|隐
KHDA|detail|国家-id|国家-id|隐
KHDA|detail|省-id|省-id|隐
KHDA|detail|市-id|市-id|隐
KHDA|detail|区-id|区-id|隐
KHDA|detail|部门-id|部门-id|隐
KHDA|detail|类别-id|类别-id|隐
KHDA|detail|业务员-id|业务员-id|隐
KHDA|detail|结算期限id|结算期限id|隐
KHDA|detail|结算客户id|结算客户id|隐
KHDA|detail|联系人国家-id|联系人国家-id|隐
KHDA|detail|联系人省-id|联系人省-id|隐
KHDA|detail|联系人市-id|联系人市-id|隐
KHDA|detail|联系人区-id|联系人区-id|隐
PU_ORDER|header|供应商id|供应商id|隐
PU_ORDER|header|业务员id|业务员id|隐
PU_ORDER|header|入库状态Z部分入库，C全部入库，A未入库|入库状态Z部分入库，C全部入库，A未入库|隐
PU_ORDER|header|delivery_type_id|delivery_type_id|隐
PU_ORDER|header|delivery_type_number|delivery_type_number|隐
PU_ORDER|header|创建人id|创建人id|隐
PU_ORDER|header|修改人id|修改人id|隐
PU_ORDER|header|审核人id|审核人id|隐
PU_ORDER|header|部门id|部门id|隐
PU_ORDER|header|客户id|客户id|隐
PU_ORDER|header|供应商发货地址国家id|供应商发货地址国家id|隐
PU_ORDER|header|供应商发货地址省份id|供应商发货地址省份id|隐
PU_ORDER|header|供应商发货地址市区id|供应商发货地址市区id|隐
PU_ORDER|header|供应商发货地址区县id|供应商发货地址区县id|隐
PU_ORDER|header|结算期限id|结算期限id|隐
PU_ORDER|header|收货地址国家id|收货地址国家id|隐
PU_ORDER|header|收货地址-省ID|收货地址-省ID|隐
PU_ORDER|header|收货地址-市ID|收货地址-市ID|隐
PU_ORDER|header|收货地址-区ID|收货地址-区ID|隐
PU_ORDER|detail|图片url|图片url|隐
PU_ORDER|detail|商品id|商品id|隐
PU_ORDER|detail|仓库id|仓库id|隐
PU_ORDER|detail|仓位id|仓位id|隐
PU_ORDER|detail|辅助属性id|辅助属性id|隐
PU_ORDER|detail|辅助属性1id|辅助属性1id|隐
PU_ORDER|detail|辅助属性2id|辅助属性2id|隐
PU_ORDER|detail|辅助属性3id|辅助属性3id|隐
PU_ORDER|detail|基本单位id|基本单位id|隐
PU_ORDER|detail|单位id|单位id|隐
PU_ORDER|detail|序列号流转ID|序列号流转ID|隐
PU_ORDER|detail|辅助单位id|辅助单位id|隐
PU_ORDER|detail|源单id|源单id|隐
PU_ORDER|detail|源单id_src_bill_no|源单id_src_bill_no|隐
PU_ORDER|detail|源单类型id|源单类型id|隐
PU_ORDER|detail|源单id_src_inter_id|源单id_src_inter_id|隐
PU_ORDER|detail|源单分录id|源单分录id|隐
PU_ORDER|detail|kf_period|kf_period|隐
PURCHASE_IN|header|customer_id|customer_id|隐
PURCHASE_IN|header|contact_country_id|contact_country_id|隐
PURCHASE_IN|header|contact_province_id|contact_province_id|隐
PURCHASE_IN|header|contact_city_id|contact_city_id|隐
PURCHASE_IN|header|contact_district_id|contact_district_id|隐
PURCHASE_IN|header|edit_pay_type_id|edit_pay_type_id|隐
PURCHASE_IN|header|edit_pay_account_id|edit_pay_account_id|隐
PURCHASE_IN|header|delivery_type_id|delivery_type_id|隐
PURCHASE_IN|header|dispatcher_province_id|dispatcher_province_id|隐
PURCHASE_IN|header|dispatcher_city_id|dispatcher_city_id|隐
PURCHASE_IN|header|dispatcher_district_id|dispatcher_district_id|隐
PURCHASE_IN|header|bill_stock_id|bill_stock_id|隐
PURCHASE_IN|header|bill_sp_id|bill_sp_id|隐
PURCHASE_IN|detail|仓位id|仓位id|隐
PURCHASE_IN|detail|辅助属性id|辅助属性id|隐
PURCHASE_IN|detail|辅助属性1id|辅助属性1id|隐
