panel_code|col_name|label|place
PURCHASE_IN|单据日期|单据日期|query,header
PURCHASE_IN|仓库|仓库|query,header,detail
PURCHASE_IN|单据编号|单据编号|query,header
PURCHASE_IN|汇率|汇率|header
PURCHASE_IN|供应商编码|供应商编码|query,header
PURCHASE_IN|供应商|供应商|query,header
PURCHASE_IN|经手人|经手人|query,header
PURCHASE_IN|创建时间|创建时间|header
PURCHASE_IN|交货方式|交货方式|header
PURCHASE_IN|结算状态|结算状态|header
PURCHASE_IN|联系人电话|联系人电话|header
PURCHASE_IN|到期日|到期日|header
SALE_OUT|单据日期|单据日期|query,header
SALE_OUT|仓库|仓库|query,header,detail
SALE_OUT|单据编号|单据编号|query,header
SALE_OUT|出库类别|出库类别|header
SALE_OUT|客户|客户|query,header
SALE_OUT|客户编码|客户编码|header
SALE_OUT|经手人|经手人|query,header
SALE_OUT|创建时间|创建时间|header
SALE_OUT|结算状态|结算状态|header
SALE_OUT|金额|金额|header
SALE_OUT|联系人电话|联系人电话|header
SALE_OUT|出入库状态|出入库状态|header
SALE_OUT|交货方式|交货方式|header
SALE_OUT|到期日|到期日|header
