panel_code|col_name|ref_panel|ref_field|display_field
PU_ORDER|物料编码|INV|存货编码|存货名称
PU_ORDER|物料名称|INV|存货名称|存货名称
PU_ORDER|供应商|GFDA|dm|mc
PU_ORDER|仓库|WH|仓库名称|仓库名称
PURCHASE_IN|仓库|WH|仓库编码|仓库名称
PURCHASE_IN|存货编码|INV|存货编码|存货名称
PURCHASE_IN|存货名称|INV|存货名称|存货名称
PURCHASE_IN|供应商编码|PARTNER|往来单位编码|往来单位名称
PURCHASE_IN|供应商|GFDA|dm|mc
PURCHASE_IN|经手人|EMP|员工名称|员工名称
PURCHASE_IN|仓库名称|WH|仓库名称|仓库名称
SALE_OUT|仓库|WH|仓库编码|仓库名称
SALE_OUT|存货名称|INV|存货名称|存货名称
SALE_OUT|存货编码|INV|存货编码|存货名称
SALE_OUT|客户|KHDA|dm|mc
SALE_OUT|客户编码|PARTNER|往来单位编码|往来单位名称
SALE_OUT|结算客户|PARTNER|往来单位名称|往来单位名称
SALE_OUT|经手人|EMP|员工名称|员工名称
SALE_OUT|部门|DEPT|部门名称|部门名称
SALE_OUT|发货人|EMP|员工名称|员工名称
SALE_OUT|收货仓库|WH|仓库名称|仓库名称
SALE_OUT|仓库名称|WH|仓库名称|仓库名称
SO_ORDER|存货名称|INV|存货名称|存货名称
SO_ORDER|存货编码|INV|存货编码|存货名称
SO_ORDER|客户|KHDA|dm|mc
SO_ORDER|结算客户|KHDA|mc|mc
SO_ORDER|业务员|EMP|员工名称|员工名称
