panel_code|place|col_name
PU_ORDER|detail|物料编码
PU_ORDER|detail|物料名称
PU_ORDER|detail|单位
PU_ORDER|detail|数量
PU_ORDER|detail|单价
PU_ORDER|header|汇率
PU_ORDER|query,header|单据日期
PU_ORDER|query,header|单据编号
PU_ORDER|query,header|供应商
PU_ORDER|query,header|币种
PURCHASE_IN|detail|存货名称
PURCHASE_IN|detail|实收数量
PURCHASE_IN|detail|计量单位
PURCHASE_IN|detail|单价
PURCHASE_IN|query,detail|存货编码
PURCHASE_IN|query,header|单据日期
PURCHASE_IN|query,header|单据编号
PURCHASE_IN|query,header|供应商
SALE_OUT|detail|存货名称
SALE_OUT|detail|存货编码
SALE_OUT|detail|计量单位
SALE_OUT|detail|数量
SALE_OUT|detail|售价
SALE_OUT|query,header|单据日期
SALE_OUT|query,header|单据编号
SALE_OUT|query,header|客户
SO_ORDER|detail|存货名称
SO_ORDER|detail|存货编码
SO_ORDER|detail|数量
SO_ORDER|detail|销售单位
SO_ORDER|detail|单价
SO_ORDER|query,header|单据编号
SO_ORDER|query,header|单据日期
SO_ORDER|query,header|客户
SO_ORDER|query,header|业务员
