[connected] Microsoft SQL Server 15.00.2000 as yinjia
== _q_leftover.sql ==
  | bd_purchase_in | PI-2026-09-0001 | 草稿 | null | N | 
  | bd_purchase_in | PI-2026-09-0002 | 草稿 | null | N | 
  | bd_purchase_in | PI-2026-09-0003 | 草稿 | null | N | 
  | bd_purchase_in | PI-2026-09-0004 | 草稿 | null | N | 
  | bd_purchase_in | PI-2026-09-0005 | 草稿 | null | N | 
  | bd_purchase_in | PI-2026-09-0006 | 草稿 | null | N | 
  | bd_purchase_in | PI-2026-09-0007 | 草稿 | YJ-20260915-06 | N | 
  | bd_purchase_in | PI-2026-09-0008 | 草稿 | YJ-20260915-06 | N | 
  | qc_insp | IJ-2026-09-0001 | 草稿 | null | N | 
  | qc_insp | IJ-2026-09-0002 | 草稿 | null | N | 
  | qc_insp | IJ-2026-09-0003 | 草稿 | null | N | 
  | qc_insp | IJ-2026-09-0004 | 草稿 | null | N | 
  | qc_insp | IJ-2026-09-0005 | 草稿 | YJ-20260915-06 | N | 
  | qc_insp | IJ-2026-09-0006 | 草稿 | YJ-20260915-06 | N | 
  | qc_insp | IJ-2026-09-0007 | 草稿 | YJ-20260915-06 | N | 
  | qc_insp | IJ-2026-09-0008 | 草稿 | YJ-20260915-06 | N | 
  | sl_recv | SL-2026-09-0001 | 草稿 | null | N | 
  | sl_recv | SL-2026-09-0002 | 草稿 | null | N | 
  | sl_recv | SL-2026-09-0003 | 草稿 | null | N | 
  | sl_recv | SL-2026-09-0004 | 草稿 | null | N | 
  | sl_recv | SL-2026-09-0005 | 草稿 | null | N | 
  | sl_recv | SL-2026-09-0006 | 草稿 | YJ-20260915-06 | N | 
  | sl_recv | SL-2026-09-0007 | 草稿 | YJ-20260915-06 | N | 
  | sl_recv | SL-2026-09-0008 | 草稿 | YJ-20260915-06 | N | 
  | sl_recv | SL-2026-09-0009 | 草稿 | YJ-20260915-06 | N | 
  | PU_ORDER | YJ-20260912-07 | PURCHASE_IN | PI-2026-09-0006 | ACTIVE | 
  | PU_ORDER | YJ-20260912-07 | SL_RECV | SL-2026-09-0001 | ACTIVE | 
  | SL_RECV | SL-2026-09-0001 | QC_INSP | IJ-2026-09-0001 | ACTIVE | 
  | SL_RECV | SL-2026-09-0004 | QC_INSP | IJ-2026-09-0002 | ACTIVE | 
  | SL_RECV | SL-2026-09-0004 | QC_INSP | IJ-2026-09-0002 | ACTIVE | 
  | SL_RECV | SL-2026-09-0004 | QC_INSP | IJ-2026-09-0002 | ACTIVE | 
  | SL_RECV | SL-2026-09-0004 | QC_INSP | IJ-2026-09-0002 | ACTIVE | 
  | PU_ORDER | YJ-20260916-02 | SL_RECV | SL-2026-09-0005 | ACTIVE | 
  | SL_RECV | SL-2026-09-0005 | QC_INSP | IJ-2026-09-0004 | ACTIVE | 
  | PU_ORDER | YJ-20260912-02 | SL_RECV | SL-2026-09-0004 | ACTIVE | 
  | PU_ORDER | YJ-20260912-02 | SL_RECV | SL-2026-09-0004 | ACTIVE | 
  | PU_ORDER | YJ-20260912-02 | SL_RECV | SL-2026-09-0004 | ACTIVE | 
  | PU_ORDER | YJ-20260912-02 | SL_RECV | SL-2026-09-0004 | ACTIVE | 
[OK] _q_leftover.sql (3 batches)
