[connected] Microsoft SQL Server 15.00.2000 as yinjia
== _q_links.sql ==
  | QC_INSP | IJ-2026-09-0007 | PURCHASE_IN | PI-2026-09-0007 | RELEASED | 
  | QC_INSP | IJ-2026-09-0007 | PURCHASE_IN | PI-2026-09-0007 | RELEASED | 
  | QC_INSP | IJ-2026-09-0007 | PURCHASE_IN | PI-2026-09-0007 | RELEASED | 
  | QC_INSP | IJ-2026-09-0008 | PURCHASE_IN | PI-2026-09-0008 | RELEASED | 
  | QC_INSP | IJ-2026-09-0008 | PURCHASE_IN | PI-2026-09-0008 | RELEASED | 
  | QC_INSP | IJ-2026-09-0008 | PURCHASE_IN | PI-2026-09-0008 | RELEASED | 
  | SL_RECV | SL-2026-09-0001 | QC_INSP | IJ-2026-09-0001 | ACTIVE | 
  | SL_RECV | SL-2026-09-0004 | QC_INSP | IJ-2026-09-0002 | ACTIVE | 
  | SL_RECV | SL-2026-09-0004 | QC_INSP | IJ-2026-09-0002 | ACTIVE | 
  | SL_RECV | SL-2026-09-0004 | QC_INSP | IJ-2026-09-0002 | ACTIVE | 
  | SL_RECV | SL-2026-09-0004 | QC_INSP | IJ-2026-09-0002 | ACTIVE | 
  | SL_RECV | SL-2026-09-0005 | QC_INSP | IJ-2026-09-0004 | ACTIVE | 
  | SL_RECV | SL-2026-09-0006 | QC_INSP | IJ-2026-09-0005 | RELEASED | 
  | SL_RECV | SL-2026-09-0006 | QC_INSP | IJ-2026-09-0005 | RELEASED | 
  | SL_RECV | SL-2026-09-0006 | QC_INSP | IJ-2026-09-0005 | RELEASED | 
  | SL_RECV | SL-2026-09-0007 | QC_INSP | IJ-2026-09-0006 | RELEASED | 
  | SL_RECV | SL-2026-09-0007 | QC_INSP | IJ-2026-09-0006 | RELEASED | 
  | SL_RECV | SL-2026-09-0007 | QC_INSP | IJ-2026-09-0006 | RELEASED | 
  | SL_RECV | SL-2026-09-0008 | QC_INSP | IJ-2026-09-0007 | RELEASED | 
  | SL_RECV | SL-2026-09-0008 | QC_INSP | IJ-2026-09-0007 | RELEASED | 
  | SL_RECV | SL-2026-09-0008 | QC_INSP | IJ-2026-09-0007 | RELEASED | 
  | SL_RECV | SL-2026-09-0009 | QC_INSP | IJ-2026-09-0008 | RELEASED | 
  | SL_RECV | SL-2026-09-0009 | QC_INSP | IJ-2026-09-0008 | RELEASED | 
  | SL_RECV | SL-2026-09-0009 | QC_INSP | IJ-2026-09-0008 | RELEASED | 
  | PU_ORDER | YJ-20260912-02 | SL_RECV | SL-2026-09-0004 | ACTIVE | 
  | PU_ORDER | YJ-20260912-02 | SL_RECV | SL-2026-09-0004 | ACTIVE | 
  | PU_ORDER | YJ-20260912-02 | SL_RECV | SL-2026-09-0004 | ACTIVE | 
  | PU_ORDER | YJ-20260912-02 | SL_RECV | SL-2026-09-0004 | ACTIVE | 
  | PU_ORDER | YJ-20260912-05 | SL_RECV | SL-2026-09-0003 | RELEASED | 
  | PU_ORDER | YJ-20260912-07 | PURCHASE_IN | PI-2026-09-0006 | ACTIVE | 
  | PU_ORDER | YJ-20260912-07 | SL_RECV | SL-2026-09-0001 | ACTIVE | 
  | PU_ORDER | YJ-20260915-06 | SL_RECV | SL-2026-09-0006 | RELEASED | 
  | PU_ORDER | YJ-20260915-06 | SL_RECV | SL-2026-09-0006 | RELEASED | 
  | PU_ORDER | YJ-20260915-06 | SL_RECV | SL-2026-09-0006 | RELEASED | 
  | PU_ORDER | YJ-20260915-06 | SL_RECV | SL-2026-09-0007 | RELEASED | 
  | PU_ORDER | YJ-20260915-06 | SL_RECV | SL-2026-09-0007 | RELEASED | 
  | PU_ORDER | YJ-20260915-06 | SL_RECV | SL-2026-09-0007 | RELEASED | 
  | PU_ORDER | YJ-20260915-06 | SL_RECV | SL-2026-09-0008 | RELEASED | 
  | PU_ORDER | YJ-20260915-06 | SL_RECV | SL-2026-09-0008 | RELEASED | 
  | PU_ORDER | YJ-20260915-06 | SL_RECV | SL-2026-09-0008 | RELEASED | 
  | PU_ORDER | YJ-20260915-06 | SL_RECV | SL-2026-09-0009 | RELEASED | 
  | PU_ORDER | YJ-20260915-06 | SL_RECV | SL-2026-09-0009 | RELEASED | 
  | PU_ORDER | YJ-20260915-06 | SL_RECV | SL-2026-09-0009 | RELEASED | 
  | PU_ORDER | YJ-20260916-02 | SL_RECV | SL-2026-09-0005 | ACTIVE | 
[OK] _q_links.sql (2 batches)
