[connected] Microsoft SQL Server 15.00.2000 as yinjia
== _q_pi_cols.sql ==
  | id | int | 
  | 单据日期 | date | 
  | 单据编号 | nvarchar | 
  | 业务类型 | nvarchar | 
  | 币种 | nvarchar | 
  | 汇率 | decimal | 
  | 供应商编码 | nvarchar | 
  | 供应商 | nvarchar | 
  | 供应商简称 | nvarchar | 
  | 经手人 | nvarchar | 
  | 项目 | nvarchar | 
  | 仓库 | nvarchar | 
  | 外部单据号 | nvarchar | 
  | 采购订单号 | nvarchar | 
  | 合同号 | nvarchar | 
  | 资金批次 | nvarchar | 
  | 采购类型 | nvarchar | 
  | 合同号最新 | nvarchar | 
  | 备注 | nvarchar | 
  | 单据状态 | nvarchar | 
  | 审核人 | nvarchar | 
  | 审核时间 | datetime2 | 
  | 审批人 | nvarchar | 
  | 审批时间 | datetime2 | 
  | asp_user1 | nvarchar | 
  | asp_time1 | datetime2 | 
  | asp_user2 | nvarchar | 
  | asp_time2 | datetime2 | 
  | asp_cancel | char | 
  | 验货人 | nvarchar | 
  | 匹配来源单号 | nvarchar | 
  | 来源单据 | nvarchar | 
  | 来源单号 | nvarchar | 
  | 销售订单号 | nvarchar | 
  | 入库类别 | nvarchar | 
  | 金额 | nvarchar | 
  | 创建时间 | nvarchar | 
  | 单据状态2 | nvarchar | 
  | 单据关闭状态 | nvarchar | 
  | 供应商id | nvarchar | 
  | 经手人id | nvarchar | 
  | 经手人编码 | nvarchar | 
  | 交货方式id | nvarchar | 
  | 交货方式 | nvarchar | 
  | 交货方式编码 | nvarchar | 
  | 结算状态 | nvarchar | 
  | 修改时间 | nvarchar | 
  | 审核时间2 | nvarchar | 
  | 创建人id | nvarchar | 
  | 创建人 | nvarchar | 
  | id | int | 
  | 单据编号 | nvarchar | 
  | 仓库 | nvarchar | 
  | 存货名称 | nvarchar | 
  | 存货图片 | nvarchar | 
  | 规格型号 | nvarchar | 
  | 实收数量 | decimal | 
  | 计量单位 | nvarchar | 
  | 实收数量2 | decimal | 
  | 计量单位2 | nvarchar | 
  | 计量单位组合 | nvarchar | 
  | 换算率 | decimal | 
  | 单价 | decimal | 
  | 税率% | decimal | 
  | 单价2 | decimal | 
  | 含税单价2 | decimal | 
  | 含税单价 | decimal | 
  | 金额 | decimal | 
  | 含税金额 | decimal | 
  | 费用调整 | decimal | 
  | 费用金额 | decimal | 
  | 现存量 | decimal | 
  | 现存量说明 | nvarchar | 
  | 产成品图片 | nvarchar | 
  | 备注 | nvarchar | 
  | asp_user1 | nvarchar | 
  | asp_time1 | datetime2 | 
  | asp_cancel | char | 
  | asp_user2 | nvarchar | 
  | asp_time2 | datetime2 | 
  | 批号 | nvarchar | 
  | 存货编码 | nvarchar | 
  | 行号 | nvarchar | 
  | 商品id | nvarchar | 
  | 商品是否多单位 | nvarchar | 
  | 商品是否序列号 | nvarchar | 
  | 商品是否辅助属性 | nvarchar | 
  | 商品是否保质期 | nvarchar | 
  | 商品是否批次 | nvarchar | 
  | 仓库id | nvarchar | 
  | 仓库名称 | nvarchar | 
  | 仓库编码 | nvarchar | 
  | 仓库启用仓位管理 | nvarchar | 
  | 仓位id | nvarchar | 
  | 仓库名称_sp_name | nvarchar | 
  | 仓位编码 | nvarchar | 
  | 辅助属性id | nvarchar | 
  | 辅助属性名称 | nvarchar | 
  | 辅助属性编码 | nvarchar | 
  | 辅助属性1id | nvarchar | 
  | id | int | 
  | 单据编号 | nvarchar | 
  | 物料编码 | nvarchar | 
  | 物料名称 | nvarchar | 
  | 规格型号 | nvarchar | 
  | 单位 | nvarchar | 
  | 数量 | decimal | 
  | 单价 | decimal | 
  | 金额 | decimal | 
  | 税率% | decimal | 
  | 含税单价 | decimal | 
  | 含税金额 | decimal | 
  | 数量2 | decimal | 
  | 仓库 | nvarchar | 
  | 计量单位2 | nvarchar | 
  | 折扣% | decimal | 
  | 折扣金额 | decimal | 
  | 预计到货日期 | date | 
  | 现存量 | decimal | 
  | 现存量说明 | nvarchar | 
  | 备注 | nvarchar | 
  | asp_user1 | nvarchar | 
  | asp_time1 | datetime2 | 
  | asp_cancel | char | 
  | asp_user2 | nvarchar | 
  | asp_time2 | datetime2 | 
  | 图片url | nvarchar | 
  | 商品id | nvarchar | 
  | 商品是否多单位 | nvarchar | 
  | 商品是否序列号 | nvarchar | 
  | 商品是否启用辅助属性 | nvarchar | 
  | 商品是否开启批次 | nvarchar | 
  | 商品助记码 | nvarchar | 
  | 仓库id | nvarchar | 
  | 仓库编码 | nvarchar | 
  | 仓库启用仓位管理 | nvarchar | 
  | 仓位id | nvarchar | 
  | 仓位名称 | nvarchar | 
  | 仓位编码 | nvarchar | 
  | 辅助属性id | nvarchar | 
  | 辅助属性名称 | nvarchar | 
  | 辅助属性编码 | nvarchar | 
  | 辅助属性1id | nvarchar | 
  | 辅助属性1名称 | nvarchar | 
  | 辅助属性1编码 | nvarchar | 
  | 辅助属性2id | nvarchar | 
  | 辅助属性2名称 | nvarchar | 
  | 辅助属性2编码 | nvarchar | 
  | 辅助属性3id | nvarchar | 
  | 辅助属性3名称 | nvarchar | 
[OK] _q_pi_cols.sql (4 batches)
