[connected] Microsoft SQL Server 15.00.2000 as yinjia
== _q_pi_five.sql ==
  | PU_ORDER | 源单id | 文本 | null | detail | 960 | 1 | 1 | 0 | 
  | PU_ORDER | 源单id_src_bill_no | 文本 | null | detail | 960 | 1 | 1 | 0 | 
  | PU_ORDER | 源单类型id | 文本 | null | detail | 960 | 1 | 1 | 0 | 
  | PU_ORDER | 源单类型名称 | 文本 | null | detail | 960 | 1 | 1 | 0 | 
  | PU_ORDER | 源单类型编码 | 文本 | null | detail | 960 | 1 | 1 | 0 | 
  | PU_ORDER | 源单id_src_inter_id | 文本 | null | detail | 960 | 1 | 1 | 0 | 
  | PU_ORDER | 源单日期 | 日期 | null | detail | 960 | 1 | 1 | 0 | 
  | PU_ORDER | 源单行号 | 文本 | null | detail | 960 | 1 | 1 | 0 | 
  | PU_ORDER | 源单分录id | 文本 | null | detail | 960 | 1 | 1 | 0 | 
  | PU_ORDER | 客户id | 文本 | null | header | 950 | 1 | 1 | 0 | 
  | PU_ORDER | 客户名称 | 文本 | null | header | 950 | 1 | 1 | 0 | 
  | PU_ORDER | 客户编码 | 文本 | null | header | 950 | 1 | 1 | 0 | 
  | PURCHASE_IN | 是否来料检验 | 下拉框 | null | detail | 300 | 0 | 0 | 1 | 
  | PURCHASE_IN | 行号 | 文本 | null | detail | 970 | 1 | 1 | 0 | 
  | PURCHASE_IN | 源单编号 | 文本 | null | detail | 970 | 1 | 1 | 0 | 
  | PURCHASE_IN | 源单类型id | 文本 | null | detail | 970 | 1 | 1 | 0 | 
  | PURCHASE_IN | 源单类型名称 | 文本 | null | detail | 970 | 1 | 1 | 0 | 
  | PURCHASE_IN | 源单类型编码 | 文本 | null | detail | 970 | 1 | 1 | 0 | 
  | PURCHASE_IN | 源单内部id | 文本 | null | detail | 970 | 1 | 1 | 0 | 
  | PURCHASE_IN | 源单日期 | 日期 | null | detail | 970 | 1 | 1 | 0 | 
  | PURCHASE_IN | 源单行号 | 文本 | null | detail | 970 | 1 | 1 | 0 | 
  | PURCHASE_IN | 源单分录id | 文本 | null | detail | 970 | 1 | 1 | 0 | 
  | PURCHASE_IN | 客户 | 文本 | null | header | 240 | 1 | 1 | 0 | 
  | PURCHASE_IN | 客户编码 | 文本 | null | header | 250 | 1 | 1 | 0 | 
  | PURCHASE_IN | 采购订单号 | 文本 | null | query,header | 205 | 1 | 0 | 1 | 
  | SL_RECV | 订单号 | 参照 | SO_ORDER | detail | 210 | 1 | 0 | 1 | 
  | bd_purchase_in | 采购订单号 | nvarchar | 
  | bd_purchase_in | 客户 | nvarchar | 
  | bd_purchase_in | 客户id | nvarchar | 
  | bd_purchase_in | 客户编码 | nvarchar | 
  | bd_purchase_in | 来源单号 | nvarchar | 
  | bd_purchase_in | 来源单据 | nvarchar | 
  | bd_purchase_in | 匹配来源单号 | nvarchar | 
  | bd_purchase_in | 销售订单号 | nvarchar | 
  | bl_purchase_in | 是否来料检验 | nvarchar | 
  | bl_purchase_in | 行号 | nvarchar | 
  | bl_purchase_in | 源单编号 | nvarchar | 
  | bl_purchase_in | 源单分录id | nvarchar | 
  | bl_purchase_in | 源单类型id | nvarchar | 
  | bl_purchase_in | 源单类型编码 | nvarchar | 
  | bl_purchase_in | 源单类型名称 | nvarchar | 
  | bl_purchase_in | 源单内部id | nvarchar | 
  | bl_purchase_in | 源单日期 | nvarchar | 
  | bl_purchase_in | 源单行号 | nvarchar | 
  | bd_purchase_in | id | int | 
  | bd_purchase_in | 单据日期 | date | 
  | bd_purchase_in | 单据编号 | nvarchar | 
  | bd_purchase_in | 业务类型 | nvarchar | 
  | bd_purchase_in | 币种 | nvarchar | 
  | bd_purchase_in | 汇率 | decimal | 
  | bd_purchase_in | 供应商编码 | nvarchar | 
  | bd_purchase_in | 供应商 | nvarchar | 
  | bd_purchase_in | 供应商简称 | nvarchar | 
  | bd_purchase_in | 经手人 | nvarchar | 
  | bd_purchase_in | 项目 | nvarchar | 
  | bd_purchase_in | 仓库 | nvarchar | 
  | bd_purchase_in | 外部单据号 | nvarchar | 
  | bd_purchase_in | 采购订单号 | nvarchar | 
  | bd_purchase_in | 合同号 | nvarchar | 
  | bd_purchase_in | 资金批次 | nvarchar | 
  | bd_purchase_in | 采购类型 | nvarchar | 
  | bd_purchase_in | 合同号最新 | nvarchar | 
  | bd_purchase_in | 备注 | nvarchar | 
  | bd_purchase_in | 单据状态 | nvarchar | 
  | bd_purchase_in | 审核人 | nvarchar | 
  | bd_purchase_in | 审核时间 | datetime2 | 
  | bd_purchase_in | 审批人 | nvarchar | 
  | bd_purchase_in | 审批时间 | datetime2 | 
  | bd_purchase_in | asp_user1 | nvarchar | 
  | bd_purchase_in | asp_time1 | datetime2 | 
  | bd_purchase_in | asp_user2 | nvarchar | 
  | bd_purchase_in | asp_time2 | datetime2 | 
  | bd_purchase_in | asp_cancel | char | 
  | bd_purchase_in | 验货人 | nvarchar | 
  | bd_purchase_in | 匹配来源单号 | nvarchar | 
  | bd_purchase_in | 来源单据 | nvarchar | 
  | bd_purchase_in | 来源单号 | nvarchar | 
