# 参考库(同源 HSDZ_MES)生产管理相关表结构

==== TABLE plang ====
name | typ | is_nullable | dflt | is_identity | cmt
comm | nvarchar(40) | 0 |  | 0 | 公司
id | int | 0 |  | 1 | 
pl_no | nvarchar(28) | 0 |  | 0 | 工单号
pl_xc | int | 1 | ((0)) | 0 | 项次
scx | nvarchar(36) | 1 |  | 0 | 生产线
pl_man | nvarchar(40) | 1 |  | 0 | 操作员
pl_date | datetime | 1 |  | 0 | 工单日期
khdm | nvarchar(16) | 1 |  | 0 | 客户代码
dm | nvarchar(100) | 1 |  | 0 | 产品代码
mc | nvarchar(500) | 1 |  | 0 | 产品名称
gg | nvarchar(500) | 1 |  | 0 | 产品规格
gg2 | nvarchar(500) | 1 |  | 0 | 产品规格2
jldw | nvarchar(16) | 1 |  | 0 | 计量单位
pl_sl | float | 1 | ((0)) | 0 | 排产数量
pl_sl2 | float | 1 | ((0)) | 0 | 排产数量2
xq_sl | float | 1 | ((0)) | 0 | 需求数量
rk_sl | float | 1 | ((0)) | 0 | 入库数量
yl | float | 1 | ((0)) | 0 | 余量
dj | float | 1 | ((0)) | 0 | 单价
jine | float | 1 | ((0)) | 0 | 金额
cp_date | datetime | 1 |  | 0 | 计划完工日期
st_date | datetime | 1 |  | 0 | 开始日期
cp_date2 | datetime | 1 |  | 0 | 实际完工日期
rk_no | nvarchar(60) | 1 |  | 0 | 入库单号
bz | ntext | 1 |  | 0 | 备注
ja | nvarchar(2) | 1 |  | 0 | 结案
od_no | nvarchar(48) | 1 |  | 0 | 订单号
od_xc | float | 1 | ((0)) | 0 | 订单项次
lot_no | nvarchar(60) | 1 |  | 0 | 批号
color | nvarchar(60) | 1 |  | 0 | 颜色
siz | nvarchar(60) | 1 |  | 0 | 尺码
ll_no | nvarchar(60) | 1 |  | 0 | 领料单号
wb_no | nvarchar(60) | 1 |  | 0 | 外包单号
lb | nvarchar(4) | 1 |  | 0 | 类别
mjlx | nvarchar(40) | 1 |  | 0 | 模具类型
BomId | int | 1 | ((0)) | 0 | 完工标记
ypl_sl | float | 1 | ((0)) | 0 | 已排产数量
ll_no2 | nvarchar(60) | 1 |  | 0 | 领料单号2
remark | nvarchar(500) | 1 |  | 0 | 备注2
MoDId | int | 1 |  | 0 | 生产工单明细ID  
llxz | nvarchar(60) | 1 |  | 0 | 来料性质
cgrkdh | nvarchar(60) | 1 |  | 0 | 采购入库单号
lldh | nvarchar(60) | 1 |  | 0 | 来料单号
djlx | nvarchar(60) | 1 |  | 0 | 单据类型
zl | float | 1 | ((0)) | 0 | 重量
asp_user1 | nvarchar(40) | 1 | ('') | 0 | 创建人
asp_time1 | datetime | 1 | (getdate()) | 0 | 创建时间
asp_user2 | nvarchar(40) | 1 | ('') | 0 | 最后修改人
asp_time2 | datetime | 1 |  | 0 | 最后修改时间
asp_user3 | nvarchar(40) | 1 | ('') | 0 | 审核人
asp_time3 | datetime | 1 |  | 0 | 审核时间
asp_cancel | varchar(1) | 1 |  | 0 | 删除标记
asp_user4 | nvarchar(40) | 1 | ('') | 0 | 删除人
asp_time4 | datetime | 1 |  | 0 | 删除时间
asp_print | int | 1 | ((0)) | 0 | 打印次数
-- 55 rows

==== TABLE plang_pc ====
name | typ | is_nullable | dflt | is_identity | cmt
comm | nvarchar(40) | 0 |  | 0 | 公司
id | int | 0 |  | 1 | 
pl_no | nvarchar(28) | 0 |  | 0 | 工单号
pl_xc | int | 1 | ((0)) | 0 | 项次
scx | nvarchar(36) | 1 |  | 0 | 生产线
pl_man | nvarchar(40) | 1 |  | 0 | 操作员
pl_date | datetime | 1 |  | 0 | 工单日期
khdm | nvarchar(16) | 1 |  | 0 | 客户代码
dm | nvarchar(100) | 1 |  | 0 | 产品代码
mc | nvarchar(500) | 1 |  | 0 | 产品名称
gg | nvarchar(500) | 1 |  | 0 | 产品规格
gg2 | nvarchar(500) | 1 |  | 0 | 产品规格2
jldw | nvarchar(16) | 1 |  | 0 | 计量单位
pl_sl | float | 1 | ((0)) | 0 | 排产数量
pl_sl2 | float | 1 | ((0)) | 0 | 排产数量2
xq_sl | float | 1 | ((0)) | 0 | 需求数量
rk_sl | float | 1 | ((0)) | 0 | 入库数量
yl | float | 1 | ((0)) | 0 | 余量
dj | float | 1 | ((0)) | 0 | 单价
jine | float | 1 | ((0)) | 0 | 金额
cp_date | datetime | 1 |  | 0 | 计划完工日期
st_date | datetime | 1 |  | 0 | 开始日期
cp_date2 | datetime | 1 |  | 0 | 实际完工日期
rk_no | nvarchar(60) | 1 |  | 0 | 入库单号
bz | ntext | 1 |  | 0 | 备注
ja | nvarchar(2) | 1 |  | 0 | 结案
od_no | nvarchar(48) | 1 |  | 0 | 订单号
od_xc | float | 1 | ((0)) | 0 | 订单表身ID
lot_no | nvarchar(60) | 1 |  | 0 | 批号
color | nvarchar(60) | 1 |  | 0 | 颜色
siz | nvarchar(60) | 1 |  | 0 | 尺码
ll_no | nvarchar(60) | 1 |  | 0 | 客户PO
wb_no | nvarchar(60) | 1 |  | 0 | 外包单号
lb | nvarchar(4) | 1 |  | 0 | 类别
mjlx | nvarchar(40) | 1 |  | 0 | 模具类型
BomId | int | 1 | ((0)) | 0 | 完工标记
jh_date | datetime | 1 |  | 0 | 订单交期
ll_no2 | nvarchar(60) | 1 |  | 0 | 领料单号
remark | nvarchar(500) | 1 |  | 0 | 备注2
MoDId | int | 1 |  | 0 | 生产工单明细ID  
llxz | nvarchar(60) | 1 |  | 0 | 来料性质
cgrkdh | nvarchar(60) | 1 |  | 0 | 采购入库单号
lldh | nvarchar(60) | 1 |  | 0 | 来料单号
djlx | nvarchar(60) | 1 |  | 0 | 单据类型
zl | float | 1 | ((0)) | 0 | 重量
asp_user1 | nvarchar(40) | 1 | ('') | 0 | 创建人
asp_time1 | datetime | 1 | (getdate()) | 0 | 创建时间
asp_user2 | nvarchar(40) | 1 | ('') | 0 | 最后修改人
asp_time2 | datetime | 1 |  | 0 | 最后修改时间
asp_user3 | nvarchar(40) | 1 | ('') | 0 | 审核人
asp_time3 | datetime | 1 |  | 0 | 审核时间
asp_cancel | varchar(1) | 1 |  | 0 | 删除标记
asp_user4 | nvarchar(40) | 1 | ('') | 0 | 删除人
asp_time4 | datetime | 1 |  | 0 | 删除时间
asp_print | int | 1 | ((0)) | 0 | 打印次数
-- 55 rows

==== TABLE scjl ====
name | typ | is_nullable | dflt | is_identity | cmt
comm | nvarchar(40) | 0 |  | 0 | 公司
id | int | 0 |  | 1 | 
sc_no | nvarchar(28) | 0 |  | 0 | 生产单号
wzdm | nvarchar(100) | 1 |  | 0 | 物料编码
mc | nvarchar(500) | 1 |  | 0 | 产品名称
gg | nvarchar(500) | 1 |  | 0 | 产品规格
jldw | nvarchar(16) | 1 |  | 0 | 计量单位
sc_date | datetime | 1 |  | 0 | 生产日期
ywman | nvarchar(40) | 1 |  | 0 | 业务员
gldh | nvarchar(40) | 1 |  | 0 | 工单号码
gd_id | int | 1 | ((0)) | 0 | 工单ID
gxdm | nvarchar(16) | 1 |  | 0 | 工序代码
sl | float | 1 | ((0)) | 0 | 数量
loss | float | 1 | ((0)) | 0 | 损耗
loss_ra | float | 1 | ((0)) | 0 | 损耗率
bf_qty | float | 1 | ((0)) | 0 | 报废数量
bl_qty | float | 1 | ((0)) | 0 | 不良数量
lot_no | nvarchar(60) | 1 |  | 0 | 批号
color | nvarchar(60) | 1 |  | 0 | 颜色
siz | nvarchar(60) | 1 |  | 0 | 尺码
gs | float | 1 | ((0)) | 0 | 工时
gz | float | 1 | ((0)) | 0 | 工资
dwzt | nvarchar(4) | 1 |  | 0 | 到位状态
dwsj | datetime | 1 |  | 0 | 到位时间
kszt | nvarchar(4) | 1 |  | 0 | 开始状态
kssj | datetime | 1 |  | 0 | 开始时间
wgzt | nvarchar(4) | 1 |  | 0 | 完工状态
wgsj | datetime | 1 |  | 0 | 完工时间
bz | nvarchar(200) | 1 | ((0)) | 0 | 备注
scx | nvarchar(36) | 1 |  | 0 | 生产线
scxmc | nvarchar(40) | 1 |  | 0 | 生产线名称
tm | nvarchar(60) | 1 |  | 0 | 条码
delmark | int | 1 | ((0)) | 0 | 删除标记
post_no | nvarchar(40) | 1 |  | 0 | POS机号
