kind	schema	name	desc	rows	colcount
VIEW	dbo	v_dispatch_detail		null	38
VIEW	dbo	v_dispatch_stats		null	11
VIEW	dbo	v_finish_in_detail		null	35
VIEW	dbo	v_finish_in_stats		null	9
VIEW	dbo	v_lot_trace		null	12
VIEW	dbo	v_manu_order_detail		null	58
VIEW	dbo	v_manu_order_stats		null	6
VIEW	dbo	v_material_out_detail		null	35
VIEW	dbo	v_material_out_stats		null	9
VIEW	dbo	v_other_in_detail		null	32
VIEW	dbo	v_other_in_stats		null	9
VIEW	dbo	v_other_out_detail		null	38
VIEW	dbo	v_other_out_stats		null	9
VIEW	dbo	v_outsource_in_detail		null	30
VIEW	dbo	v_outsource_in_stats		null	10
VIEW	dbo	v_outsource_issue_detail		null	30
VIEW	dbo	v_outsource_issue_stats		null	10
VIEW	dbo	v_purchase_in_detail		null	56
VIEW	dbo	v_purchase_in_stats		null	9
VIEW	dbo	v_sale_out_detail		null	55
VIEW	dbo	v_sale_out_stats		null	8
VIEW	dbo	v_sales_order_detail		null	35
VIEW	dbo	v_sales_order_stats		null	10
VIEW	dbo	v_stock_balance	库存状况表:按仓库+存货聚合8类出入库单据行的现存量/结存单价/结存金额(实时计算)	null	11
VIEW	dbo	v_stock_ledger		null	27
VIEW	dbo	v_stock_summary		null	24
VIEW	dbo	v_wo_kit		null	14
VIEW	dbo	v_wo_schedule		null	20
VIEW	dbo	VIEW_barcord		null	22
VIEW	dbo	View_BOM		null	12
VIEW	dbo	VIEW_CK		null	26
VIEW	dbo	View_CRK		null	9
VIEW	dbo	View_FKZE		null	4
VIEW	dbo	View_GX		null	4
VIEW	dbo	VIEW_inh		null	40
VIEW	dbo	VIEW_kucun		null	13
VIEW	dbo	View_llrk00		null	15
VIEW	dbo	View_llrk01		null	42
VIEW	dbo	View_llrk01A		null	42
VIEW	dbo	View_llrk02		null	9
VIEW	dbo	View_llrk02A		null	5
VIEW	dbo	View_llrk03		null	9
VIEW	dbo	View_llrk03A		null	5
VIEW	dbo	View_llrk04		null	9
VIEW	dbo	View_llrk04A		null	5
VIEW	dbo	View_llrk05		null	10
VIEW	dbo	View_llrk05A		null	5
VIEW	dbo	View_llrk06		null	10
VIEW	dbo	View_llrk06A		null	4
VIEW	dbo	View_llrk07		null	10
VIEW	dbo	View_llrk07A		null	4
VIEW	dbo	View_llrk08		null	3
VIEW	dbo	View_od_cost		null	17
VIEW	dbo	View_od_cost1		null	4
VIEW	dbo	View_od_cost2		null	4
VIEW	dbo	View_od_cost3		null	4
VIEW	dbo	View_od_cost4		null	5
VIEW	dbo	View_od_sqdchl		null	5
VIEW	dbo	View_OD_WLQTY1		null	23
VIEW	dbo	View_OD_WLQTY2		null	8
VIEW	dbo	View_OD_WLQTY3		null	8
VIEW	dbo	View_OD_WLQTY4		null	8
VIEW	dbo	View_OD_WLQTY41		null	8
VIEW	dbo	View_OD_WLQTY5		null	8
VIEW	dbo	View_OD_WLQTY6		null	6
VIEW	dbo	View_OD_WLQTY7		null	8
VIEW	dbo	View_OD_WLQTY9		null	32
VIEW	dbo	VIEW_odqty		null	43
VIEW	dbo	View_odqty1		null	4
VIEW	dbo	View_odqty2		null	4
VIEW	dbo	View_odqty3		null	4
VIEW	dbo	VIEW_order		null	53
VIEW	dbo	VIEW_outh		null	40
VIEW	dbo	VIEW_pandian		null	17
VIEW	dbo	View_pcqty		null	6
VIEW	dbo	VIEW_podyl		null	13
VIEW	dbo	VIEW_podyl1		null	7
VIEW	dbo	View_Porder		null	37
VIEW	dbo	VIEW_QTY		null	14
VIEW	dbo	VIEW_QTY1		null	14
VIEW	dbo	VIEW_QTY2		null	14
VIEW	dbo	VIEW_QTY3		null	14
VIEW	dbo	VIEW_RK		null	26
VIEW	dbo	View_SCGD		null	31
VIEW	dbo	View_SCX		null	4
VIEW	dbo	View_SKZE		null	3
VIEW	dbo	View_WB_WLQTY1		null	28
VIEW	dbo	View_WB_WLQTY2		null	7
VIEW	dbo	View_WB_WLQTY3		null	7
VIEW	dbo	View_WB_WLQTY9		null	31
VIEW	dbo	VIEW_zc		null	17
VIEW	dbo	View_ZZPQTY		null	14
VIEW	dbo	View_ZZPQTY0		null	5
VIEW	dbo	View_ZZPQTY1		null	8
VIEW	dbo	View_ZZPQTY2		null	6
VIEW	dbo	View_ZZPQTY3		null	2
VIEW	dbo	View_ZZPQTY4		null	6
VIEW	dbo	View_ZZPQTY5		null	6
VIEW	dbo	View_ZZPQTY6		null	6
VIEW	dbo	View_ZZPQTY7		null	6
VIEW	dbo	View_ZZPQTY8		null	6
TABLE	dbo	address	位置信息	0	19
TABLE	dbo	area_city	省份城市	365	7
TABLE	dbo	area_code	省市区代码	3524	3
TABLE	dbo	area_country	区域国家	248	11
TABLE	dbo	area_district	城市区域	2927	7
TABLE	dbo	area_province	中国省份	34	8
TABLE	dbo	bacord	条码	20	17
TABLE	dbo	bd_account	会计科目档案	0	14
TABLE	dbo	bd_dispatch	工序派工单头表(经典遗留面板)	0	23
TABLE	dbo	bd_expense_type	费用类别档案	0	12
TABLE	dbo	bd_finish_in	产成品入库单头表(切炭双出口直销自动生成并审核)	0	24
TABLE	dbo	bd_manu_order	生产加工单头表(经典遗留面板)	0	37
TABLE	dbo	bd_material_out	材料出库单(领料)头表	0	25
TABLE	dbo	bd_other_in	其他入库单头表	0	21
TABLE	dbo	bd_other_out	其他出库单头表	0	29
TABLE	dbo	bd_outsource_in	委外入库单头表	0	21
TABLE	dbo	bd_outsource_issue	委外发料单头表	0	22
TABLE	dbo	bd_outsource_order	委外加工单头表	0	23
TABLE	dbo	bd_pu_order	采购订单头表	0	101
TABLE	dbo	bd_pu_req	请购单头表	0	31
TABLE	dbo	bd_purchase_in	采购入库单头表(审核过账kucun入库)	0	132
TABLE	dbo	bd_sale_out	销售出库单头表(审核过账kucun出库)	0	129
TABLE	dbo	bd_so_order	销售订单头表(星辰ERP同步)	18	116
TABLE	dbo	bd_tax_type	税别档案	0	12
TABLE	dbo	bl_dispatch	工序派工单行表(中文列,服务器口径;含生产车间列供统计视图分组)	1	28
TABLE	dbo	bl_finish_in	产成品入库单行表(负数量=红字冲回)	1	22
TABLE	dbo	bl_manu_order	生产加工单行表(经典遗留面板)	0	29
TABLE	dbo	bl_material_out	材料出库单(领料)行表(BOM展开生成)	1	22
TABLE	dbo	bl_other_in	其他入库单行表	1	22
TABLE	dbo	bl_other_out	其他出库单行表	1	19
TABLE	dbo	bl_outsource_in	委外入库单行表	0	19
TABLE	dbo	bl_outsource_issue	委外发料单行表	0	18
TABLE	dbo	bl_outsource_order	委外加工单行表	0	17
TABLE	dbo	bl_pu_order	采购订单行表	0	109
TABLE	dbo	bl_pu_req	请购单行表	1	28
TABLE	dbo	bl_purchase_in	采购入库单行表(批号三键入库)	1	99
TABLE	dbo	bl_sale_out	销售出库单行表(批号三键出库)	1	117
TABLE	dbo	bl_so_order	销售订单行表(星辰ERP同步)	30	111
TABLE	dbo	bs_bom	物料清单BOM(父件-子件-定额数量,默认BOM标志)	58	28
TABLE	dbo	bs_currency	币别档案(金蝶云·星辰 currency 同步目标表;编码=匹配列,外部数据ID=同步幂等锚点)	0	24
TABLE	dbo	bs_customer_group	客户分类档案(金蝶云·星辰 customer_group 同步目标表;编码=匹配列,外部数据ID=同步幂等锚点)	0	17
TABLE	dbo	bs_dept	部门档案(遗留,组织架构用yj_dept)	20	24
TABLE	dbo	bs_dict	数据字典	410	13
TABLE	dbo	bs_emp	员工档案(遗留,组织架构用yj_user)	16	32
TABLE	dbo	bs_equip	设备档案(设备点检/保养计划参照源)	12	21
TABLE	dbo	bs_inv	存货档案(物料/产品主数据,含是否检验标志)	114	125
TABLE	dbo	bs_inv_price	存货价格本	30	32
TABLE	dbo	bs_material_group	商品分类档案(金蝶云·星辰 material_group 同步目标表;编码=匹配列,外部数据ID=同步幂等锚点)	0	21
TABLE	dbo	bs_op	工序档案(五道工序:混料/成型/切炭/组装/装箱)	15	23
TABLE	dbo	bs_partner	往来单位档案	12	29
